    YYYYMMDD      HHMMSS     JULIAN        YEAR      total_column   error       instrument
    19980312      120938    2450885     1998.193169   3.1304e+016   5.0959e+015      0
    19980312      141236    2450885     1998.193403   1.9132e+016   3.1145e+015      0
    19980313       85311    2450886     1998.195535   2.1616e+016   3.5189e+015      0
    19980313      105621    2450886     1998.195769   2.3561e+016   3.8355e+015      0
    19980313      125930    2450886     1998.196004   5.8964e+016   9.5987e+015      0
    19980320       70534    2450893     1998.214508   1.9905e+016   3.2403e+015      0
    19980320      134232    2450893     1998.215264   2.7797e+016   4.5250e+015      0
    19980323       92756    2450896     1998.222998   2.4931e+016   4.0585e+015      0
    19980323      113059    2450896     1998.223232   2.5877e+016   4.2125e+015      0
    19980328      115908    2450901     1998.236985   1.1696e+016   1.9039e+015      0
    19980403       73750    2450907     1998.252926   1.0734e+016   1.7474e+015      0
    19980403       90512    2450907     1998.253092   1.1235e+016   1.8289e+015      0
    19980403      110959    2450907     1998.253329   2.3481e+016   3.8225e+015      0
    19980403      131300    2450907     1998.253564   2.2745e+016   3.7026e+015      0
    19980405       82102    2450909     1998.258488   2.2801e+016   3.7118e+015      0
    19980405      102420    2450909     1998.258722   2.8649e+016   4.6637e+015      0
    19980405      122744    2450909     1998.258957   3.5549e+016   5.7869e+015      0
    19980405      143101    2450909     1998.259191   4.1922e+016   6.8244e+015      0
    19980407      102119    2450911     1998.264196   1.5088e+016   2.4561e+015      0
    19980408       75920    2450912     1998.266665   1.2803e+016   2.0842e+015      0
    19980408      120512    2450912     1998.267133   2.9070e+016   4.7323e+015      0
    19980417      100346    2450921     1998.291560   8.2294e+015   1.3397e+015      0
    19980417      120633    2450921     1998.291793   1.2078e+016   1.9661e+015      0
    19980418       80732    2450922     1998.294078   6.8209e+015   1.1104e+015      0
    19980419       94618    2450923     1998.297006   1.3533e+016   2.2030e+015      0
    19980419      114914    2450923     1998.297240   1.3211e+016   2.1506e+015      0
    19980419      135205    2450923     1998.297474   1.2888e+016   2.0980e+015      0
    19980427      104829    2450931     1998.319042   8.9701e+015   1.4602e+015      0
    19980427      125236    2450931     1998.319278   1.0011e+016   1.6298e+015      0
    19980507       83512    2450941     1998.346186   6.9529e+015   1.1319e+015      0
    19980508      132424    2450942     1998.349476   7.3223e+015   1.1920e+015      0
    19980509      105800    2450943     1998.351937   6.1400e+015   9.9952e+014      0
    19980509      130315    2450943     1998.352175   1.3620e+016   2.2172e+015      0
    19980510      121129    2450944     1998.354816   1.0453e+016   1.7017e+015      0
    19980527      102442    2450961     1998.401189   7.5669e+015   1.2318e+015      0
    19980528      120221    2450962     1998.404114   1.0153e+016   1.6527e+015      0
    19980703      124232    2450998     1998.502821   1.1621e+016   1.8918e+015      0
    19980705      144635    2451000     1998.508536   1.0887e+016   1.7723e+015      0
    19980716      105611    2451011     1998.538235   6.2403e+015   1.0158e+015      0
    19980716      140347    2451011     1998.538592   5.0909e+015   8.2875e+014      0
    19980811      102048    2451037     1998.609400   8.5727e+015   1.3955e+015      0
    19980814      132802    2451040     1998.617976   1.3591e+016   2.2125e+015      0
    19980901      133455    2451058     1998.667304   6.4640e+015   1.0523e+015      0
    19980902      124645    2451059     1998.669952   2.9988e+016   4.8816e+015      0
    19980907      101944    2451064     1998.683371   7.5298e+015   1.2258e+015      0
    19980907      110050    2451064     1998.683449   1.1629e+016   1.8931e+015      0
    19980907      114154    2451064     1998.683527   8.7712e+015   1.4278e+015      0
    19980907      122302    2451064     1998.683605   7.4198e+015   1.2079e+015      0
    19980918       90157    2451075     1998.713360   1.0710e+016   1.7434e+015      0
    19980919      110927    2451076     1998.716342   9.6010e+015   1.5629e+015      0
    19980919      151614    2451076     1998.716812   1.3340e+016   2.1716e+015      0
    19980930      104152    2451087     1998.746427   2.0853e+016   3.3947e+015      0
    19980930      122935    2451087     1998.746632   2.4119e+016   3.9263e+015      0
    19981014      132759    2451101     1998.785099   1.1672e+016   1.9001e+015      0
    19981015      132217    2451102     1998.787828   1.1470e+016   1.8671e+015      0
    19981016      132128    2451103     1998.790566   1.1200e+016   1.8232e+015      0
    19981016      152452    2451103     1998.790801   1.2401e+016   2.0188e+015      0
    19981020       91852    2451107     1998.801063   1.0527e+016   1.7137e+015      0
    19981024       95343    2451111     1998.812089   1.0132e+016   1.6494e+015      0
    19981024      115531    2451111     1998.812320   3.0860e+016   5.0237e+015      0
    19981025      150544    2451112     1998.815422   2.1125e+016   3.4390e+015      0
    19981028      133845    2451115     1998.823476   1.9535e+016   3.1801e+015      0
    19981031       72357    2451118     1998.830982   9.6285e+015   1.5674e+015      0
    19981202      123924    2451150     1998.919253   7.4257e+015   1.2088e+015      0
    19981202      151756    2451150     1998.919555   1.5802e+016   2.5724e+015      0
    19981211       84951    2451159     1998.943474   3.5532e+016   5.7843e+015      0
    19981211      100847    2451159     1998.943624   3.5385e+016   5.7603e+015      0
    19981212       71121    2451160     1998.946026   2.2777e+016   3.7079e+015      0
    19981212       83018    2451160     1998.946176   2.2549e+016   3.6708e+015      0
